periodo,variable
2005/01,106701738
2005/02,106999770
2005/03,107306131
2005/04,107615497
2006/01,107928527
2006/02,108246318
2006/03,108577054
2006/04,108914323
2007/01,107268985
2007/02,107639570
2007/03,108011640
2007/04,108385034
2008/01,108760309
2008/02,109136957
2008/03,109514932
2008/04,109894873
2009/01,110275944
2009/02,110658985
2009/03,111043384
2009/04,111429733
2010/01,111817262
2010/02,112206602
2010/03,112552063
2010/04,112876221
2011/01,113201371
2011/02,113527871
2011/03,113855685
2011/04,114184771
2012/01,114514698
2012/02,114846398
2012/03,115178895
2012/04,115512717
2013/01,115847891
2013/02,116184160
2013/03,116521832
2013/04,116860452
2014/01,117199493
2014/02,117532774
2014/03,117867806
2014/04,118203959
2015/01,118541164
2015/02,118880091
2015/03,119219891
2015/04,119560800
2016/01,119902882
2016/02,120246444
2016/03,120591244
2016/04,120937324
2017/01,121284631
2017/02,121633302
2017/03,121983203
2017/04,122334498
2018/01,122686834
2018/02,123126079
2018/03,123556624
2018/04,123975965
2019/01,124382965
2019/02,124776689
2019/03,125157089
2019/04,125523613
2020/01,125877636
2020/02,126221147.333333
2020/03,126554112
2020/04,126880395
2021/01,127203297
2021/02,127488991
2021/03,127772520
2021/04,127996051
2022/01,128271478
2022/02,128533664
2022/03,128665641
2022/04,128857600
2023/01,129035733
2023/02,129202482
2023/03,129406736
2023/04,129625968
2024/01,129713690
2024/02,129940228
2024/03,130154247
