periodo,variable
2005/01,41441076
2005/02,41676868
2005/03,42334898
2005/04,42863703
2006/01,42740936
2006/02,43212434
2006/03,43617867
2006/04,43942607
2007/01,42717453
2007/02,43245283
2007/03,43310496
2007/04,44445583
2008/01,43852979
2008/02,44462150
2008/03,44224459
2008/04,43998840
2009/01,43837585
2009/02,44242950
2009/03,44962042
2009/04,45558595
2010/01,44720360
2010/02,45841915
2010/03,45701118
2010/04,45166962
2011/01,45254856
2011/02,46115690
2011/03,46571990
2011/04,47495234
2012/01,46928200
2012/02,48174670
2012/03,48447625
2012/04,47994737
2013/01,47548734
2013/02,48481214
2013/03,48499708
2013/04,49118670
2014/01,48272319
2014/02,48505094
2014/03,48664784
2014/04,49026174
2015/01,49007988
2015/02,49548568
2015/03,49963931
2015/04,50793533
2016/01,50029049
2016/02,50690910
2016/03,51320394
2016/04,51414185
2017/01,51172034
2017/02,51529417
2017/03,51796924
2017/04,52222742
2018/01,52253036
2018/02,53205163
2018/03,53483093
2018/04,53705872
2019/01,53714758
2019/02,54549769
2019/03,54848407
2019/04,55345261
2020/01,55058450
2020/02,44715067.6666667
2020/03,50810713
2020/04,53124071
2021/01,52973270
2021/02,55242748
2021/03,55836230
2021/04,56611211
2022/01,56079123
2022/02,57420677
2022/03,57440441
2022/04,58349353
2023/01,58492126
2023/02,58521990
2023/03,59167472
2023/04,59403947
2024/01,59120905
2024/02,59327161
2024/03,59528249
