periodo,variable
1993/01,1591205.285
1993/02,1645078.943
1993/03,1662209.955
1993/04,1708617.37
1994/01,1750226.236
1994/02,1864368.817
1994/03,1878101.782
1994/04,1981408.604
1995/01,2126220.471
1995/02,2356508.357
1995/03,2504153.023
1995/04,2774687.614
1996/01,3014208.731
1996/02,3185547.23
1996/03,3309766.859
1996/04,3627124.504
1997/01,3756065.136
1997/02,4058874.225
1997/03,4203179.298
1997/04,4561538.016
1998/01,4764071.123
1998/02,4997073.067
1998/03,5181379.017
1998/04,5429428.979
1999/01,5661869.187
1999/02,5934314.27
1999/03,6162128.337
1999/04,6381668.671
2000/01,6720563.462
2000/02,6958394.987
2000/03,7166931.104
2000/04,7220526.217
2001/01,7320286.31
2001/02,7459750.438
2001/03,7502163.55
2001/04,7466230.339
2002/01,7309444.307
2002/02,7941409.987
2002/03,7971586.016
2002/04,8088591.577
2003/01,8093632.004
2003/02,8253853.483
2003/03,8210313.374
2003/04,8480333.734
2004/01,8730792.149
2004/02,9281990.016
2004/03,9311925.012
2004/04,9668852.016
2005/01,9450080.65
2005/02,10060019.29
2005/03,10062099.172
2005/04,10426196.734
2006/01,10550621.144
2006/02,11227577.554
2006/03,11246326.337
2006/04,11455938.045
2007/01,11430812.047
2007/02,12021863.013
2007/03,12129428.141
2007/04,12604909.422
2008/01,12297911.306
2008/02,13254081.51
2008/03,13139867.071
2008/04,13019185.274
2009/01,12170951.054
2009/02,12466924.428
2009/03,12891111.352
2009/04,13467484.852
2010/01,13359849.385
2010/02,13848983.491
2010/03,14044018.019
2010/04,14619747.192
2011/01,14490555.67
2011/02,14923547.967
2011/03,15341144.459
2011/04,16318498.578
2012/01,16103739.841
2012/02,16384468.001
2012/03,16581027.129
2012/04,17047261.122
2013/01,16420163.73
2013/02,16844478.827
2013/03,16981720.877
2013/04,17569659.293
2014/01,17404245.673
2014/02,18042241.197
2014/03,18219506.292
2014/04,18884609.289
2015/01,18389552.595
2015/02,19087520.892
2015/03,19467455.941
2015/04,19969929.27
2016/01,19541663.274
2016/02,20557132.312
2016/03,20921915.626
2016/04,22014450.811
2017/01,21923233.467
2017/02,22351037.369
2017/03,22424378.365
2017/04,23446191.823
2018/01,23181578.747
2018/02,24136868.094
2018/03,24262574.513
2018/04,25125660.135
2019/01,24545403.861
2019/02,25036472.55
2019/03,25182909.697
2019/04,25722507.113
2020/01,25329753.891
2020/02,20799463.927
2020/03,24267620.879
2020/04,25950193.841
2021/01,25661431.1
2021/02,26634327.965
2021/03,26611404.352
2021/04,27852970.143
2022/01/r1,27959958.635
2022/02,29442358.077
2022/03,29732283.22
2022/04,30929609.23
2023/01,30436250.546
2023/02,31585234.474
2023/03,32096907.634
2023/04,33303872.536
2024/01,32084579.696
2024/02,33909202.223
2024/03/p1,34352011.654
