periodo,variable
1993/01,12.9773197638673
1993/02,13.0833453107992
1993/03,13.1595936894285
1993/04,13.2354804035143
1993/05,13.3111374897297
1993/06,13.3857971232443
1993/07,13.4501234404208
1993/08,13.5221121948547
1993/09,13.6222606722309
1993/10,13.677973025024
1993/11,13.7383023563383
1993/12,13.8430548971257
1994/01,13.9503749805667
1994/02,14.022124062044
1994/03,14.0942247629785
1994/04,14.1632513049319
1994/05,14.231682244253
1994/06,14.3028945689645
1994/07,14.3663267698675
1994/08,14.4332866454444
1994/09,14.5359366445482
1994/10,14.6122453040552
1994/11,14.690360856448
1994/12,14.8192043681591
1995/01,15.3769909442995
1995/02,16.0287073487094
1995/03,16.9736172029501
1995/04,18.3261332553113
1995/05,19.0920901909918
1995/06,19.698024268685
1995/07,20.099588355294
1995/08,20.4329812657101
1995/09,20.8556425301303
1995/10,21.2847621166146
1995/11,21.8096083843478
1995/12,22.5201672711919
1996/01,23.3297537612935
1996/02,23.8742620287622
1996/03,24.3998258803534
1996/04,25.0934496172036
1996/05,25.5508423029622
1996/06,25.9669017285474
1996/07,26.3360306880634
1996/08,26.6860717149303
1996/09,27.1127514903968
1996/10,27.4511675396208
1996/11,27.8670834484337
1996/12,28.7593364537036
1997/01,29.4988860288599
1997/02,29.9945980915094
1997/03,30.3678890736628
1997/04,30.6959718117285
1997/05,30.976119445603
1997/06,31.2509569123077
1997/07,31.5232110408611
1997/08,31.8035021966878
1997/09,32.1996125889942
1997/10,32.4569408230776
1997/11,32.8200420108443
1997/12,33.2798745076214
1998/01,34.00392411086
1998/02,34.5992378438525
1998/03,35.0045333976035
1998/04,35.3320420634022
1998/05,35.6134813637621
1998/06,36.0344204113821
1998/07,36.3818781104596
1998/08,36.731632103784
1998/09,37.3273763870906
1998/10,37.8622689272582
1998/11,38.5327862255935
1998/12,39.4729743246935
1999/01,40.4697702805404
1999/02,41.013642812364
1999/03,41.3946837830669
1999/04,41.7745766092366
1999/05,42.0258770767504
1999/06,42.3020062047591
1999/07,42.581579771548
1999/08,42.8212552562384
1999/09,43.2350183927565
1999/10,43.508851226519
1999/11,43.8957764470198
1999/12,44.335516388566
2000/01,44.9308301163779
2000/02,45.3293803145216
2000/03,45.5806807820354
2000/04,45.8400182716419
2000/05,46.0113790737289
2000/06,46.2839202410061
2000/07,46.4644662097181
2000/08,46.7197851882783
2000/09,47.0610716040147
2000/10,47.3851358258534
2000/11,47.7902878628328
2000/12,48.307671180741
2001/01,48.5754762479341
2001/02,48.5433281595649
2001/03,48.8508877817244
2001/04,49.0973086323825
2001/05,49.2099704636254
2001/06,49.3263637671915
2001/07,49.1982019640303
2001/08,49.4896875471858
2001/09,49.9503811497724
2001/10,50.1761353677535
2001/11,50.3651489088722
2001/12,50.434898785093
2002/01,50.9004720097159
2002/02,50.8677498490805
2002/03,51.1279484444964
2002/04,51.4072349725615
2002/05,51.5114292313976
2002/06,51.7625861769592
2002/07,51.9111813533618
2002/08,52.1085603012643
2002/09,52.4219835649941
2002/10,52.6530360866857
2002/11,53.0788772813736
2002/12,53.3099298030651
2003/01,53.5254406753155
2003/02,53.6741224549695
2003/03,54.0129304127862
2003/04,54.1051441994704
2003/05,53.9305596707487
2003/06,53.9751123991466
2003/07,54.0533387013335
2003/08,54.2154899105024
2003/09,54.5382381638973
2003/10,54.7382073867067
2003/11,55.1925416053699
2003/12,55.4298107868381
2004/01,55.7743173494501
2004/02,56.1079447574531
2004/03,56.2980709356166
2004/04,56.3830319525618
2004/05,56.2416029426468
2004/06,56.3317445094056
2004/07,56.4793901790965
2004/08,56.8280411815599
2004/09,57.2979170496642
2004/10,57.6947471653946
2004/11,58.1868993976974
2004/12,58.3070881533761
2005/01,58.3091603733014
2005/02,58.5034309913156
2005/03,58.7671209768338
2005/04,58.9764151893082
2005/05,58.8282514646358
2005/06,58.771783471666
2005/07,59.0017998833952
2005/08,59.0722553608615
2005/09,59.3090064873482
2005/10,59.4545799371139
2005/11,59.8824933517271
2005/12,60.2503123885007
2006/01,60.6036258857962
2006/02,60.6963577274618
2006/03,60.7725118097234
